NODE_1597_length_349_cov_49.601719	399
NODE_1607_length_290_cov_156.668961	340
NODE_1713_length_191_cov_280.675385	241
NODE_1715_length_142_cov_213.845078	192
NODE_1766_length_314_cov_463.656036	364
NODE_2060_length_233_cov_764.030029	283
NODE_2345_length_1115_cov_56.699551	1165
NODE_2652_length_118_cov_2.500000	168
NODE_2838_length_139_cov_133.841721	189
NODE_2854_length_149_cov_752.966431	199
NODE_2962_length_126_cov_1.563492	176
NODE_2981_length_212_cov_275.750000	262
NODE_3045_length_866_cov_8.483833	916
NODE_3126_length_177_cov_47.276836	227
NODE_3187_length_311_cov_218.842438	361
NODE_3192_length_109_cov_357.678894	159
NODE_3220_length_578_cov_94.439445	628
NODE_3221_length_169_cov_100.307693	219
NODE_3229_length_202_cov_723.222778	252
NODE_3236_length_163_cov_391.503082	213
NODE_3407_length_174_cov_2.557471	224
NODE_3501_length_336_cov_52.416668	386
NODE_3502_length_463_cov_51.583153	513
NODE_3503_length_114_cov_48.929825	164
NODE_3600_length_758_cov_23.003958	808
NODE_3624_length_129_cov_271.782959	179
NODE_3652_length_317_cov_20.873817	367
NODE_3737_length_1036_cov_70.698845	1086
NODE_3753_length_114_cov_1.421053	164
NODE_3758_length_116_cov_364.594818	166
NODE_3792_length_227_cov_68.550659	277
NODE_3818_length_247_cov_68.971657	297
NODE_3849_length_112_cov_551.357117	162
NODE_3862_length_193_cov_173.751297	243
NODE_3883_length_163_cov_166.533737	213
NODE_3903_length_1067_cov_9.381443	1117
NODE_3927_length_241_cov_381.448120	291
NODE_3950_length_493_cov_447.586212	543
NODE_3954_length_225_cov_85.515556	275
NODE_3974_length_370_cov_90.656754	420
NODE_4055_length_206_cov_71.718445	256
NODE_4128_length_290_cov_40.872414	340
NODE_4155_length_358_cov_5.120112	408
NODE_4157_length_1497_cov_6.110220	1547
NODE_4164_length_250_cov_71.987999	300
NODE_4191_length_210_cov_2.200000	260
NODE_4225_length_322_cov_158.403732	372
NODE_4240_length_404_cov_133.896042	454
NODE_4243_length_386_cov_71.272018	436
NODE_4282_length_145_cov_155.027588	195
NODE_4313_length_149_cov_2.637584	199
NODE_4345_length_248_cov_2.576613	298
NODE_4487_length_453_cov_43.684326	503
NODE_4518_length_558_cov_97.378136	608
NODE_4564_length_261_cov_64.168579	311
NODE_4565_length_451_cov_47.064301	501
NODE_4615_length_136_cov_46.544117	186
NODE_4640_length_153_cov_1.307190	203
NODE_4642_length_542_cov_46.265682	592
NODE_4735_length_230_cov_1.847826	280
NODE_4736_length_116_cov_134.034485	166
NODE_4737_length_160_cov_116.581253	210
NODE_4840_length_172_cov_1.162791	222
NODE_4924_length_160_cov_76.568748	210
NODE_4938_length_190_cov_99.073685	240
NODE_4998_length_189_cov_4.666667	239
NODE_5030_length_103_cov_1.533981	153
NODE_5062_length_348_cov_3.704023	398
NODE_5082_length_104_cov_2.009615	154
NODE_5204_length_218_cov_56.509174	268
NODE_5271_length_115_cov_154.026093	165
NODE_5279_length_232_cov_2.056035	282
NODE_5284_length_651_cov_60.287251	701
NODE_5379_length_132_cov_1.787879	182
NODE_5384_length_295_cov_2.932203	345
NODE_5438_length_290_cov_2.817241	340
NODE_5444_length_181_cov_43.127071	231
NODE_5489_length_365_cov_3.586301	415
NODE_5512_length_108_cov_3.342592	158
NODE_5632_length_736_cov_58.180706	786
NODE_5653_length_165_cov_60.066666	215
NODE_5774_length_149_cov_3.919463	199
NODE_5858_length_103_cov_1.650485	153
NODE_5932_length_129_cov_51.511627	179
NODE_6058_length_104_cov_1.442308	154
NODE_6107_length_107_cov_3.514019	157
NODE_6157_length_218_cov_7.431193	268
NODE_6253_length_265_cov_3.554717	315
NODE_6273_length_225_cov_71.737778	275
NODE_6288_length_109_cov_1.256881	159
NODE_6358_length_763_cov_14.992136	813
NODE_6404_length_262_cov_12.572519	312
NODE_6423_length_125_cov_2.112000	175
NODE_6435_length_241_cov_2.738589	291
NODE_6509_length_200_cov_4.640000	250
NODE_6510_length_132_cov_3.143939	182
NODE_6511_length_223_cov_2.488789	273
NODE_6528_length_178_cov_46.578651	228
NODE_6553_length_103_cov_3.165049	153
NODE_6635_length_151_cov_2.609272	201
NODE_6746_length_271_cov_5.416974	321
NODE_6764_length_107_cov_6.046729	157
NODE_6778_length_138_cov_2.217391	188
NODE_6853_length_169_cov_1.946746	219
NODE_6868_length_118_cov_1.271186	168
NODE_6891_length_386_cov_3.411917	436
NODE_6989_length_106_cov_3.801887	156
NODE_6992_length_686_cov_12.574344	736
NODE_7001_length_124_cov_1.500000	174
NODE_7012_length_166_cov_2.144578	216
NODE_7022_length_111_cov_1.495495	161
NODE_7036_length_103_cov_1.446602	153
NODE_7046_length_139_cov_37.697842	189
NODE_7050_length_193_cov_1.590674	243
NODE_7128_length_123_cov_2.634146	173
NODE_7145_length_161_cov_3.006211	211
NODE_7166_length_197_cov_5.685279	247
NODE_7293_length_267_cov_9.621723	317
NODE_7371_length_145_cov_1.724138	195
NODE_7392_length_282_cov_3.269504	332
NODE_7464_length_104_cov_1.855769	154
NODE_7482_length_126_cov_2.198413	176
NODE_7494_length_149_cov_2.013423	199
NODE_7495_length_113_cov_1.407080	163
NODE_7505_length_132_cov_2.924242	182
NODE_7517_length_154_cov_2.525974	204
NODE_7519_length_130_cov_1.538462	180
NODE_7548_length_125_cov_5.696000	175
NODE_7591_length_136_cov_1.654412	186
NODE_7606_length_123_cov_1.276423	173
NODE_7627_length_225_cov_2.133333	275
NODE_7652_length_129_cov_1.798450	179
NODE_7683_length_195_cov_2.876923	245
NODE_7758_length_125_cov_2.624000	175
NODE_7822_length_119_cov_2.504202	169
NODE_7842_length_107_cov_1.401869	157
NODE_7843_length_420_cov_3.121428	470
NODE_7864_length_229_cov_2.410480	279
NODE_7869_length_118_cov_2.050848	168
NODE_7896_length_117_cov_1.709402	167
NODE_7912_length_187_cov_2.770053	237
NODE_7913_length_149_cov_2.288591	199
NODE_7936_length_112_cov_1.339286	162
NODE_7948_length_125_cov_2.304000	175
NODE_7956_length_500_cov_4.390000	550
NODE_8004_length_261_cov_2.026820	311
NODE_8086_length_177_cov_1.694915	227
NODE_8093_length_115_cov_1.582609	165
NODE_8166_length_106_cov_3.820755	156
NODE_8170_length_107_cov_1.467290	157
NODE_8191_length_149_cov_2.436242	199
NODE_8196_length_109_cov_1.825688	159
NODE_8227_length_113_cov_3.070796	163
NODE_8308_length_195_cov_2.666667	245
NODE_8312_length_134_cov_2.686567	184
NODE_8320_length_104_cov_1.432692	154
NODE_8322_length_115_cov_1.800000	165
NODE_8375_length_623_cov_5.855538	673
NODE_8402_length_121_cov_2.066116	171
NODE_8433_length_196_cov_2.795918	246
NODE_8499_length_180_cov_5.250000	230
NODE_8534_length_387_cov_3.046512	437
NODE_8560_length_276_cov_4.199275	326
NODE_8644_length_271_cov_2.169742	321
NODE_8695_length_287_cov_2.369338	337
NODE_8699_length_220_cov_3.086364	270
NODE_8717_length_103_cov_2.271845	153
NODE_8779_length_359_cov_2.512535	409
NODE_8789_length_102_cov_1.960784	152
NODE_8819_length_109_cov_3.183486	159
NODE_8822_length_167_cov_2.059880	217
NODE_8839_length_109_cov_10.449541	159
NODE_8872_length_148_cov_1.418919	198
NODE_8909_length_237_cov_2.299578	287
NODE_8938_length_126_cov_2.841270	176
NODE_8955_length_269_cov_2.520446	319
NODE_8981_length_113_cov_1.796460	163
NODE_8997_length_112_cov_1.812500	162
NODE_9004_length_129_cov_2.860465	179
NODE_9018_length_131_cov_1.786260	181
NODE_9050_length_309_cov_9.757281	359
NODE_9075_length_257_cov_2.883269	307
NODE_9116_length_132_cov_3.045455	182
NODE_9133_length_153_cov_1.150327	203
NODE_9165_length_116_cov_1.715517	166
NODE_9187_length_137_cov_2.737226	187
NODE_9198_length_510_cov_4.376471	560
NODE_9328_length_226_cov_3.637168	276
NODE_9356_length_159_cov_1.257862	209
NODE_9391_length_274_cov_3.521898	324
NODE_9428_length_103_cov_1.194175	153
NODE_9481_length_126_cov_1.912698	176
NODE_9523_length_160_cov_2.100000	210
NODE_9533_length_115_cov_1.739130	165
NODE_9571_length_191_cov_2.418848	241
